기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2017.02	합계	3,777,735	1,428,205	420,223	888,555	30,771	909,243	100,738
2017.02	광나루	246,863	81,030	53,686	109,116	2,827	-	204
2017.02	잠실	282,321	118,300	48,801	105,290	5,035	-	4,895
2017.02	뚝섬	936,848	415,113	76,572	234,089	5,955	190,168	14,951
2017.02	잠원	172,573	86,405	29,055	47,860	-	-	9,253
2017.02	반포	326,494	110,056	42,642	86,479	1,842	83,199	2,276
2017.02	이촌	202,040	78,720	52,020	63,880	2,410	-	5,010
2017.02	여의도	1,037,171	259,201	36,985	72,809	7,809	601,471	58,896
2017.02	양화	160,967	75,531	29,132	55,795	280	-	229
2017.02	망원	141,710	71,810	26,930	37,030	2,760	-	3,180
2017.02	난지	168,320	86,473	4,055	40,415	1,300	34,405	1,672
2017.02	강서	102,428	45,566	20,345	35,792	553	-	172
