기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2017.10	합계	6,899,096	3,018,160	638,332	1,483,443	219,408	1,349,369	190,384
2017.10	광나루	609,080	222,872	88,507	286,850	2,338	-	8,513
2017.10	잠실	389,858	139,375	75,415	169,720	233	-	5,115
2017.10	뚝섬	2,298,735	1,449,920	141,960	295,920	95,337	279,146	36,452
2017.10	잠원	10,635	4,700	2,095	3,790	-	-	50
2017.10	반포	15,580	9,393	1,300	2,636	-	1,821	430
2017.10	이촌	358,310	133,310	93,300	106,580	12,850	-	12,270
2017.10	여의도	1,808,195	543,765	77,540	148,620	36,880	901,250	100,140
2017.10	양화	258,109	105,779	38,711	102,693	8,565	-	2,361
2017.10	망원	323,135	126,951	53,098	131,066	7,825	-	4,195
2017.10	난지	532,688	184,300	15,243	92,970	53,355	167,152	19,668
2017.10	강서	294,771	97,795	51,163	142,598	2,025	-	1,190
