기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2015.08	합계	13,203,727	5,008,693	1,383,789	2,576,813	527,484	3,029,780	677,168
2015.08	광나루	533,248	160,000	111,952	230,685	5,789	-	24,822
2015.08	잠실	274,899	113,515	13,178	92,661	12,490	-	43,055
2015.08	뚝섬	3,926,514	1,650,196	573,439	462,367	42,807	984,071	213,634
2015.08	잠원	426,568	204,925	5,350	199,129	9,611	-	7,553
2015.08	반포	691,524	246,930	89,450	138,900	12,348	200,820	3,076
2015.08	이촌	1,489,105	615,800	318,695	328,240	70,490	-	155,880
2015.08	여의도	2,822,946	836,218	19,714	145,034	328,521	1,394,449	99,010
2015.08	양화	1,038,635	458,156	69,793	439,544	11,797	-	59,345
2015.08	망원	412,908	166,790	67,520	121,800	6,813	-	49,985
2015.08	난지	1,243,982	473,865	66,836	206,665	25,785	450,440	20,391
2015.08	강서	343,398	82,298	47,862	211,788	1,033	-	417
