기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2013.09	합계	5,852,298	2,289,609	441,551	1,421,545	137,957	1,348,148	213,488
2013.09	광나루	126,839	53,877	7,895	51,519	3,809	-	9,739
2013.09	잠실	319,300	203,422	18,191	65,986	9,174	-	22,527
2013.09	뚝섬	1,209,088	380,120	215,815	307,130	14,435	276,518	15,070
2013.09	잠원	254,456	143,170	16,630	77,535	-	-	17,121
2013.09	반포	227,478	113,521	-	92,548	8	9,273	12,128
2013.09	이촌	333,919	159,240	46,430	112,500	-	-	15,749
2013.09	여의도	1,851,533	649,560	46,870	178,060	53,120	812,331	111,592
2013.09	양화	259,650	112,571	18,174	119,963	5,436	-	3,506
2013.09	망원	286,516	153,280	22,832	94,452	12,600	-	3,352
2013.09	난지	657,489	232,202	39,430	95,688	38,375	250,026	1,768
2013.09	강서	326,030	88,646	9,284	226,164	1,000	-	936
