기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2019.11	합계	3,894,836	1,567,395	631,068	893,513	122,803	595,851	84,206
2019.11	광나루	212,218	109,720	19,483	77,413	5,225	-	377
2019.11	잠실	289,689	119,916	54,795	112,682	795	-	1,501
2019.11	뚝섬	1,310,614	670,150	232,589	227,155	17,518	135,657	27,545
2019.11	잠원	125,115	44,875	41,010	37,790	570	-	870
2019.11	반포	433,432	201,917	30,181	78,228	2,348	111,494	9,264
2019.11	이촌	187,290	72,880	53,450	53,135	4,040	-	3,785
2019.11	여의도	668,450	84,590	97,050	68,830	45,500	348,700	23,780
2019.11	양화	150,372	65,126	26,282	56,400	1,268	-	1,296
2019.11	망원	144,881	48,258	32,892	44,473	14,819	-	4,439
2019.11	난지	191,320	75,210	8,490	68,000	28,740	-	10,880
2019.11	강서	181,455	74,753	34,846	69,407	1,980	-	469
