기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2015.04	합계	6,213,826	2,427,928	497,499	1,443,956	107,411	1,545,468	191,564
2015.04	광나루	261,226	83,744	50,164	120,145	5,880	-	1,293
2015.04	잠실	147,743	65,585	17,022	51,885	7,239	-	6,012
2015.04	뚝섬	1,357,091	448,259	141,167	434,976	52,511	251,124	29,054
2015.04	잠원	163,826	77,920	26,080	52,320	220	-	7,286
2015.04	반포	374,358	127,330	48,977	75,430	-	120,900	1,721
2015.04	이촌	295,733	120,453	54,570	107,750	400	-	12,560
2015.04	여의도	2,250,116	934,861	8,585	153,323	14,432	1,043,794	95,121
2015.04	양화	389,968	177,148	41,370	161,042	4,479	-	5,929
2015.04	망원	229,240	97,730	50,190	72,850	5,320	-	3,150
2015.04	난지	502,571	229,240	21,097	77,820	15,710	129,650	29,054
2015.04	강서	241,954	65,658	38,277	136,415	1,220	-	384
