기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2014.12	합계	2,876,513	1,377,995	243,727	649,509	20,339	525,916	59,027
2014.12	광나루	222,250	91,784	40,365	85,831	3,820	-	450
2014.12	잠실	98,710	47,373	8,554	35,003	3,583	-	4,197
2014.12	뚝섬	936,013	574,572	52,934	170,541	4,745	117,739	15,482
2014.12	잠원	113,681	64,989	10,392	29,865	-	-	8,435
2014.12	반포	232,152	76,314	34,454	51,630	24	68,670	1,060
2014.12	이촌	153,716	71,130	25,770	51,840	-	-	4,976
2014.12	여의도	450,399	145,060	5,629	32,202	2,601	245,182	19,725
2014.12	양화	106,536	54,424	13,123	36,440	1,200	-	1,349
2014.12	망원	147,310	71,970	29,995	42,810	1,395	-	1,140
2014.12	난지	325,405	143,215	7,498	75,680	2,610	94,325	2,077
2014.12	강서	90,341	37,164	15,013	37,667	361	-	136
