기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2019.02	합계	3,492,400	1,566,327	420,304	752,672	114,162	516,050	122,885
2019.02	광나루	207,147	109,932	17,877	73,507	5,541	-	290
2019.02	잠실	254,738	92,315	62,038	90,250	8,030	-	2,105
2019.02	뚝섬	1,136,935	657,690	112,356	168,865	49,739	129,664	18,621
2019.02	잠원	77,767	39,270	10,669	26,252	-	-	1,576
2019.02	반포	436,183	218,869	33,741	64,401	1,264	107,341	10,567
2019.02	이촌	174,980	65,250	51,190	51,740	3,550	-	3,250
2019.02	여의도	607,885	130,065	34,340	65,325	18,205	279,045	80,905
2019.02	양화	92,796	47,533	11,040	29,708	4,158	-	357
2019.02	망원	202,638	82,579	44,026	66,600	6,556	-	2,877
2019.02	난지	127,020	61,974	6,234	40,894	16,148	-	1,770
2019.02	강서	174,311	60,850	36,793	75,130	971	-	567
