기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2018.05	합계	6,931,330	2,852,303	686,814	1,448,703	208,405	1,520,010	215,095
2018.05	광나루	398,175	158,204	51,952	170,877	11,527	-	5,615
2018.05	잠실	374,264	143,235	72,346	146,804	8,400	-	3,479
2018.05	뚝섬	1,557,568	815,080	156,470	225,420	38,983	274,133	47,482
2018.05	잠원	293,547	101,949	94,115	86,234	6,085	-	5,164
2018.05	반포	662,407	367,984	54,263	121,726	18,197	89,322	10,915
2018.05	이촌	285,030	113,920	75,580	81,340	5,330	-	8,860
2018.05	여의도	2,161,440	635,625	54,060	180,910	36,250	1,156,555	98,040
2018.05	양화	205,144	90,559	28,317	75,804	9,312	-	1,152
2018.05	망원	301,564	140,759	35,549	112,907	9,931	-	2,418
2018.05	난지	415,871	206,665	18,870	98,535	60,690	-	31,111
2018.05	강서	276,320	78,323	45,292	148,146	3,700	-	859
