기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2013.05	합계	6,024,966	2,043,616	455,844	1,062,916	159,760	2,096,410	206,420
2013.05	광나루	138,071	54,399	14,485	48,916	9,334	-	10,937
2013.05	잠실	297,617	147,868	13,607	83,794	29,637	-	22,711
2013.05	뚝섬	1,491,803	538,220	219,970	337,435	9,514	356,027	30,637
2013.05	잠원	188,249	97,035	13,100	56,802	11,600	-	9,712
2013.05	반포	208,889	106,277	32,035	46,173	280	11,290	12,834
2013.05	이촌	230,542	133,996	36,667	50,020	750	-	9,109
2013.05	여의도	2,826,135	711,096	66,543	199,229	60,791	1,693,197	95,279
2013.05	양화	298,238	107,286	41,431	113,526	30,993	-	5,002
2013.05	망원	192,796	110,507	12,479	68,152	653	-	1,005
2013.05	난지	86,277	14,959	4,346	17,384	4,663	35,896	9,029
2013.05	강서	66,349	21,973	1,181	41,485	1,545	-	165
