기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2013.11	합계	3,687,986	1,263,881	436,455	1,064,582	71,255	716,353	135,460
2013.11	광나루	227,228	72,399	19,245	124,836	888	-	9,860
2013.11	잠실	181,927	93,800	15,740	42,796	10,335	-	19,256
2013.11	뚝섬	1,148,451	370,140	220,805	326,220	10,320	208,676	12,290
2013.11	잠원	190,393	107,470	12,394	53,670	-	-	16,859
2013.11	반포	163,395	63,601	40,920	49,676	-	813	8,385
2013.11	이촌	258,730	108,990	48,170	91,360	320	-	9,890
2013.11	여의도	745,884	170,062	23,090	88,870	38,169	377,200	48,493
2013.11	양화	139,647	59,140	15,064	63,704	-	-	1,739
2013.11	망원	191,735	104,420	21,700	61,580	2,080	-	1,955
2013.11	난지	300,003	72,559	15,335	67,078	9,143	129,664	6,224
2013.11	강서	140,593	41,300	3,992	94,792	-	-	509
