기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2018.11	합계	4,427,552	1,802,854	528,437	967,316	128,242	815,101	185,602
2018.11	광나루	268,712	113,480	33,270	121,041	320	-	601
2018.11	잠실	127,719	50,000	38,652	36,285	389	-	2,393
2018.11	뚝섬	1,197,969	674,640	120,697	138,181	53,265	165,121	46,065
2018.11	잠원	301,425	109,960	70,770	117,655	200	-	2,840
2018.11	반포	499,806	236,533	40,662	93,737	2,587	112,260	14,027
2018.11	이촌	180,100	68,690	53,380	53,630	1,540	-	2,860
2018.11	여의도	1,118,415	255,790	60,655	131,290	31,090	537,720	101,870
2018.11	양화	97,173	42,365	13,401	37,250	3,418	-	739
2018.11	망원	198,688	73,465	41,617	69,424	11,764	-	2,418
2018.11	난지	238,465	108,111	12,789	83,913	22,539	-	11,113
2018.11	강서	199,080	69,820	42,544	84,910	1,130	-	676
