기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2018.04	합계	9,514,699	4,867,322	604,045	1,384,049	178,914	2,260,798	219,571
2018.04	광나루	357,125	136,580	51,524	157,402	8,517	-	3,102
2018.04	잠실	335,811	125,360	64,450	136,970	5,518	-	3,513
2018.04	뚝섬	1,463,812	710,200	161,290	271,810	25,505	251,167	43,840
2018.04	잠원	179,076	86,159	34,576	54,942	-	-	3,399
2018.04	반포	575,855	309,925	45,736	111,095	13,446	88,706	6,947
2018.04	이촌	267,370	103,830	78,690	72,360	7,270	-	5,220
2018.04	여의도	5,270,190	2,912,020	54,255	213,290	43,960	1,920,925	125,740
2018.04	양화	190,769	90,828	26,685	71,112	1,315	-	829
2018.04	망원	293,536	136,355	35,476	107,446	12,773	-	1,486
2018.04	난지	368,209	184,255	10,775	90,200	58,030	-	24,949
2018.04	강서	212,946	71,810	40,588	97,422	2,580	-	546
