기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2017.04	합계	7,837,088	2,617,811	674,099	1,688,858	524,932	2,146,118	185,270
2017.04	광나루	381,926	113,890	75,161	178,490	13,019	-	1,366
2017.04	잠실	385,600	183,390	59,720	133,320	3,190	-	5,980
2017.04	뚝섬	1,520,836	631,444	135,135	430,570	26,641	270,204	26,842
2017.04	잠원	267,250	136,790	34,980	82,560	-	-	12,920
2017.04	반포	573,440	228,754	72,013	126,856	14,820	125,625	5,372
2017.04	이촌	380,620	138,950	100,810	129,990	2,690	-	8,180
2017.04	여의도	3,147,703	702,694	52,344	224,182	412,677	1,661,308	94,498
2017.04	양화	305,636	136,794	45,466	121,308	1,053	-	1,015
2017.04	망원	265,027	117,080	49,255	86,240	7,282	-	5,170
2017.04	난지	441,472	170,853	15,780	99,825	42,495	88,981	23,538
2017.04	강서	167,578	57,172	33,435	75,517	1,065	-	389
