기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2018.08	합계	6,780,946	2,626,243	745,182	1,284,106	224,848	1,556,359	344,208
2018.08	광나루	390,990	145,886	52,357	172,402	460	-	19,885
2018.08	잠실	352,638	131,410	75,455	122,745	2,000	-	21,028
2018.08	뚝섬	1,803,522	992,830	240,777	233,260	64,399	197,792	74,464
2018.08	잠원	167,708	62,369	38,034	45,107	66	-	22,132
2018.08	반포	676,596	360,563	37,641	115,281	11,034	135,812	16,265
2018.08	이촌	271,160	97,990	80,420	77,650	4,490	-	10,610
2018.08	여의도	2,113,582	408,070	75,688	171,190	76,460	1,222,755	159,419
2018.08	양화	145,187	60,733	22,958	52,475	6,538	-	2,483
2018.08	망원	241,217	97,712	48,584	86,109	6,828	-	1,984
2018.08	난지	387,073	183,061	17,710	119,946	51,243	-	15,113
2018.08	강서	231,273	85,619	55,558	87,941	1,330	-	825
