기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2016.12	합계	2,438,536	761,380	288,252	445,545	39,136	803,041	101,182
2016.12	광나루	150,551	51,165	36,113	60,322	2,719	-	232
2016.12	잠실	139,380	61,420	33,180	41,170	-	-	3,610
2016.12	뚝섬	465,905	157,664	57,202	79,675	7,263	150,038	14,063
2016.12	잠원	146,390	54,865	28,720	49,420	4,325	-	9,060
2016.12	반포	237,582	61,915	19,460	49,135	1,013	104,240	1,819
2016.12	이촌	117,150	42,590	24,140	41,600	1,150	-	7,670
2016.12	여의도	752,111	156,358	7,089	30,642	15,137	484,083	58,802
2016.12	양화	98,901	44,671	27,031	25,422	358	-	1,419
2016.12	망원	89,175	37,800	20,175	26,950	1,770	-	2,480
2016.12	난지	172,743	59,380	18,735	24,100	4,410	64,680	1,438
2016.12	강서	68,648	33,552	16,407	17,109	991	-	589
