기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2013.04	합계	14,440,166	7,511,642	408,394	973,989	93,071	5,253,658	199,412
2013.04	광나루	100,447	44,771	8,105	35,500	4,811	-	7,260
2013.04	잠실	203,012	94,018	11,180	76,104	5,632	-	16,078
2013.04	뚝섬	1,142,481	398,910	215,950	294,420	11,772	197,927	23,502
2013.04	잠원	139,552	72,220	11,010	47,830	-	-	8,492
2013.04	반포	175,717	92,851	24,137	40,525	225	5,882	12,097
2013.04	이촌	157,208	82,220	27,981	39,370	300	-	7,337
2013.04	여의도	11,732,175	6,450,759	56,877	195,083	38,365	4,898,950	92,141
2013.04	양화	243,906	111,793	23,584	94,574	9,944	-	4,011
2013.04	망원	67,302	40,567	5,537	20,697	-	-	501
2013.04	난지	430,304	107,540	23,040	98,959	21,984	150,899	27,882
2013.04	강서	48,062	15,993	993	30,927	38	-	111
