기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2013.12	합계	3,048,973	1,113,286	373,269	831,568	45,729	563,450	121,671
2013.12	광나루	225,313	67,433	21,549	124,785	1,231	-	10,315
2013.12	잠실	87,044	44,202	5,960	23,995	4,058	-	8,829
2013.12	뚝섬	1,024,537	353,241	193,446	276,571	9,160	172,297	19,822
2013.12	잠원	175,742	104,335	10,038	42,548	300	-	18,521
2013.12	반포	137,603	59,625	31,511	38,763	25	135	7,544
2013.12	이촌	259,145	106,170	52,145	91,640	-	-	9,190
2013.12	여의도	596,169	146,990	19,312	64,255	23,100	299,675	42,837
2013.12	양화	106,546	51,357	11,769	38,464	3,456	-	1,500
2013.12	망원	152,261	89,180	16,661	43,706	1,652	-	1,062
2013.12	난지	202,532	52,242	8,175	46,298	2,733	91,343	1,741
2013.12	강서	82,081	38,511	2,703	40,543	14	-	310
