기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2016.05	합계	7,366,536	2,603,900	657,589	1,617,165	285,448	1,977,869	224,565
2016.05	광나루	393,620	117,915	85,311	179,835	8,474	-	2,085
2016.05	잠실	333,953	156,747	57,328	100,737	4,992	-	14,149
2016.05	뚝섬	1,495,923	603,026	109,334	322,489	67,437	351,794	41,843
2016.05	잠원	379,953	161,380	56,450	149,600	2,760	-	9,763
2016.05	반포	771,399	216,030	75,421	120,190	72,203	277,266	10,289
2016.05	이촌	323,000	179,770	56,620	76,380	-	-	10,230
2016.05	여의도	2,077,532	566,953	11,247	115,589	58,238	1,253,763	71,742
2016.05	양화	394,426	167,552	66,440	156,631	744	-	3,059
2016.05	망원	293,115	125,920	62,040	95,860	4,510	-	4,785
2016.05	난지	543,690	197,280	20,582	109,600	64,876	95,046	56,306
2016.05	강서	359,925	111,327	56,816	190,254	1,214	-	314
