기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2017.06	합계	7,290,739	2,453,112	675,743	1,701,350	170,117	2,076,989	213,428
2017.06	광나루	375,973	118,840	68,937	176,187	3,874	-	8,135
2017.06	잠실	367,466	147,025	66,720	142,340	1,950	-	9,431
2017.06	뚝섬	1,773,860	679,874	140,289	460,740	98,607	347,549	46,801
2017.06	잠원	236,679	118,057	36,149	79,190	340	-	2,943
2017.06	반포	672,279	230,002	68,428	162,149	9,633	184,253	17,814
2017.06	이촌	350,620	122,350	96,210	116,000	5,750	-	10,310
2017.06	여의도	2,281,693	545,503	35,681	156,867	31,220	1,432,223	80,199
2017.06	양화	257,971	101,647	45,978	105,544	3,790	-	1,012
2017.06	망원	261,911	112,391	43,522	95,364	3,824	-	6,810
2017.06	난지	481,894	193,000	31,353	104,925	10,195	112,964	29,457
2017.06	강서	230,393	84,423	42,476	102,044	934	-	516
