기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2013.01	합계	2,461,217	1,184,238	258,035	358,270	34,678	537,438	88,558
2013.01	광나루	57,618	33,214	4,302	12,950	559	-	6,593
2013.01	잠실	96,041	49,565	6,230	27,289	2,208	-	10,749
2013.01	뚝섬	959,507	451,990	149,210	119,530	14,044	186,023	38,710
2013.01	잠원	94,314	58,625	9,735	20,945	15	-	4,994
2013.01	반포	79,019	44,864	15,413	18,055	-	629	58
2013.01	이촌	145,289	87,294	23,754	27,268	21	-	6,952
2013.01	여의도	682,914	291,544	28,013	41,063	13,318	293,111	15,865
2013.01	양화	109,542	55,960	12,904	34,334	3,524	-	2,820
2013.01	망원	78,407	54,253	4,832	18,960	-	-	362
2013.01	난지	143,287	48,227	3,155	31,813	984	57,675	1,433
2013.01	강서	15,279	8,702	487	6,063	5	-	22
