기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2013.06	합계	6,519,897	2,397,795	484,149	1,230,624	155,492	1,965,236	286,601
2013.06	광나루	107,803	42,090	8,727	41,707	2,617	-	12,662
2013.06	잠실	271,298	168,265	17,991	54,850	5,465	-	24,727
2013.06	뚝섬	1,402,330	492,063	203,460	368,148	12,192	280,771	45,696
2013.06	잠원	243,316	134,740	13,504	77,005	-	-	18,067
2013.06	반포	190,741	88,020	27,244	50,537	38	12,673	12,229
2013.06	이촌	304,028	163,220	47,083	64,500	5,660	-	23,565
2013.06	여의도	2,791,683	914,255	69,869	193,577	97,626	1,415,045	101,311
2013.06	양화	296,582	117,681	45,147	120,470	8,760	-	4,524
2013.06	망원	242,773	128,280	17,077	85,299	1,999	-	10,118
2013.06	난지	559,157	115,128	29,827	103,017	21,049	256,747	33,389
2013.06	강서	110,186	34,053	4,220	71,514	86	-	313
