기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2013.07	합계	4,664,868	1,716,046	413,562	981,390	70,998	1,184,352	298,520
2013.07	광나루	98,211	36,911	6,930	32,952	1,809	-	19,609
2013.07	잠실	232,970	119,783	11,125	83,184	4,023	-	14,855
2013.07	뚝섬	1,309,493	446,600	208,990	299,740	12,965	264,054	77,144
2013.07	잠원	203,959	115,188	11,876	46,625	230	-	30,040
2013.07	반포	122,308	52,886	25,162	35,254	8	1,467	7,531
2013.07	이촌	307,060	171,957	55,697	69,360	102	-	9,944
2013.07	여의도	1,366,654	387,261	36,613	116,933	35,328	701,766	88,753
2013.07	양화	161,624	73,186	18,576	65,982	1,570	-	2,310
2013.07	망원	222,503	108,697	15,128	65,621	1,049	-	32,008
2013.07	난지	512,023	159,188	18,402	88,922	12,414	217,065	16,032
2013.07	강서	128,063	44,389	5,063	76,817	1,500	-	294
