기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2015.02	합계	2,781,299	1,112,492	307,485	725,456	44,340	499,031	92,495
2015.02	광나루	208,861	70,271	41,911	85,710	10,379	-	590
2015.02	잠실	110,896	56,836	11,840	31,210	6,672	-	4,338
2015.02	뚝섬	781,974	314,412	70,843	193,613	7,815	161,556	33,735
2015.02	잠원	108,039	53,244	11,635	30,345	7,000	-	5,815
2015.02	반포	248,158	86,025	40,492	56,415	-	63,870	1,356
2015.02	이촌	197,865	83,735	39,500	66,145	-	-	8,485
2015.02	여의도	420,794	123,690	4,712	45,702	4,340	208,760	33,590
2015.02	양화	152,935	69,208	17,836	61,822	2,298	-	1,771
2015.02	망원	170,580	78,720	38,630	49,870	1,930	-	1,430
2015.02	난지	276,395	136,835	9,678	60,795	3,185	64,845	1,057
2015.02	강서	104,802	39,516	20,408	43,829	721	-	328
