기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2015.10	합계	8,699,644	3,135,463	680,469	923,954	1,437,012	2,188,661	334,085
2015.10	광나루	345,873	110,495	80,990	145,027	8,536	-	825
2015.10	잠실	189,648	78,071	19,615	69,019	14,757	-	8,186
2015.10	뚝섬	1,153,003	531,454	114,587	116,500	38,877	274,265	77,320
2015.10	잠원	423,156	217,645	79,578	107,675	2,770	-	15,488
2015.10	반포	632,266	183,020	83,988	97,246	-	193,285	74,727
2015.10	이촌	894,940	318,550	74,060	31,690	450,000	-	20,640
2015.10	여의도	3,457,433	1,049,925	19,147	135,387	672,862	1,525,011	55,101
2015.10	양화	386,143	229,998	63,624	85,655	2,790	-	4,076
2015.10	망원	477,750	143,900	74,220	26,750	227,130	-	5,750
2015.10	난지	480,286	177,655	16,737	-	18,200	196,100	71,594
2015.10	강서	259,146	94,750	53,923	109,005	1,090	-	378
