기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2013.03	합계	3,754,764	1,457,851	422,314	844,268	57,232	833,666	139,433
2013.03	광나루	120,573	52,454	10,530	48,309	2,851	-	6,429
2013.03	잠실	190,898	89,861	11,256	67,436	6,800	-	15,545
2013.03	뚝섬	1,315,192	461,610	244,300	304,207	14,770	264,699	25,606
2013.03	잠원	141,330	73,770	14,408	44,875	-	-	8,277
2013.03	반포	173,717	97,780	25,367	36,748	-	-	13,822
2013.03	이촌	181,618	104,150	25,796	43,349	280	-	8,043
2013.03	여의도	882,721	311,161	36,265	54,978	18,259	424,277	37,781
2013.03	양화	154,573	67,995	19,295	58,545	4,955	-	3,783
2013.03	망원	136,955	81,500	11,440	43,513	-	-	502
2013.03	난지	412,993	102,216	22,689	115,323	8,517	144,690	19,558
2013.03	강서	44,194	15,354	968	26,985	800	-	87
