기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2019.05	합계	7,763,028	3,784,888	701,197	1,329,203	318,937	1,428,265	200,538
2019.05	광나루	329,630	157,480	38,766	125,469	2,364	-	5,551
2019.05	잠실	373,243	131,925	83,380	144,175	10,360	-	3,403
2019.05	뚝섬	2,190,337	1,495,200	192,370	219,880	59,638	194,348	28,901
2019.05	잠원	160,223	51,085	60,195	46,190	20	-	2,733
2019.05	반포	1,126,471	674,993	54,613	191,235	42,563	163,067	-
2019.05	이촌	249,650	91,020	69,280	79,700	3,910	-	5,740
2019.05	여의도	2,247,655	773,530	68,365	147,130	58,730	1,070,850	129,050
2019.05	양화	164,336	81,814	13,446	62,963	5,625	-	488
2019.05	망원	288,727	112,417	61,220	90,799	20,022	-	4,269
2019.05	난지	395,420	136,467	12,607	113,485	113,732	-	19,129
2019.05	강서	237,336	78,957	46,955	108,177	1,973	-	1,274
