기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2016.11	합계	2,348,018	810,211	288,919	452,742	38,660	625,448	132,038
2016.11	광나루	181,301	60,905	36,872	77,570	5,499	-	455
2016.11	잠실	209,710	96,200	45,090	57,690	3,000	-	7,730
2016.11	뚝섬	493,170	173,357	60,030	89,515	7,714	138,695	23,859
2016.11	잠원	122,122	45,260	19,905	41,870	120	-	14,967
2016.11	반포	245,795	50,345	22,668	47,510	2,737	119,326	3,209
2016.11	이촌	109,460	37,030	29,000	31,720	2,350	-	9,360
2016.11	여의도	528,532	147,717	5,651	22,956	6,101	285,635	60,472
2016.11	양화	95,597	45,971	19,002	28,023	201	-	2,400
2016.11	망원	93,987	46,800	22,505	18,170	2,420	-	4,092
2016.11	난지	206,148	77,880	12,528	21,280	7,596	81,792	5,072
2016.11	강서	62,196	28,746	15,668	16,438	922	-	422
