기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2014.05	합계	6,551,307	2,521,336	600,125	1,779,664	113,776	1,347,128	189,278
2014.05	광나루	214,372	72,741	34,625	103,243	1,645	-	2,118
2014.05	잠실	281,757	141,263	15,829	105,523	5,826	-	13,316
2014.05	뚝섬	1,343,058	435,217	204,747	342,569	22,485	310,802	27,238
2014.05	잠원	169,055	94,222	16,562	52,480	-	-	5,791
2014.05	반포	286,222	119,770	62,089	94,572	369	6,510	2,912
2014.05	이촌	406,125	161,670	75,785	151,130	-	-	17,540
2014.05	여의도	2,107,003	855,023	33,706	272,033	22,158	849,091	74,992
2014.05	양화	548,050	224,172	42,935	272,742	3,924	-	4,277
2014.05	망원	301,595	125,060	59,560	107,670	5,825	-	3,480
2014.05	난지	624,089	219,941	29,719	106,145	50,485	180,725	37,074
2014.05	강서	269,981	72,257	24,568	171,557	1,059	-	540
