기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2016.02	합계	3,442,621	1,420,766	383,142	808,188	35,736	731,674	63,115
2016.02	광나루	268,373	88,820	61,011	116,286	1,983	-	273
2016.02	잠실	144,457	65,501	22,963	41,315	8,200	-	6,478
2016.02	뚝섬	726,524	349,315	53,494	166,124	3,363	133,427	20,801
2016.02	잠원	306,450	129,889	52,325	116,425	250	-	7,561
2016.02	반포	292,824	101,689	39,273	63,020	4,082	83,235	1,525
2016.02	이촌	226,630	165,350	38,080	20,290	-	-	2,910
2016.02	여의도	743,706	201,704	5,778	37,743	3,410	477,426	17,645
2016.02	양화	193,864	89,723	33,476	68,105	433	-	2,127
2016.02	망원	182,990	88,970	34,390	52,770	5,035	-	1,825
2016.02	난지	156,177	66,330	6,331	36,850	7,211	37,586	1,869
2016.02	강서	200,626	73,475	36,021	89,260	1,769	-	101
