기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2019.07	합계	5,870,990	2,557,336	634,885	1,229,723	183,489	1,033,026	232,531
2019.07	광나루	282,629	143,532	25,880	98,741	4,071	-	10,405
2019.07	잠실	376,964	130,451	87,955	142,500	1,795	-	14,263
2019.07	뚝섬	1,670,455	928,910	158,292	302,755	23,292	192,392	64,814
2019.07	잠원	133,184	41,565	42,387	38,375	-	-	10,857
2019.07	반포	539,117	277,947	33,483	89,503	1,551	124,671	11,962
2019.07	이촌	245,053	95,340	63,109	71,370	8,990	-	6,244
2019.07	여의도	1,689,028	565,185	102,011	148,915	77,824	715,963	79,130
2019.07	양화	188,374	84,680	14,211	83,292	3,327	-	2,864
2019.07	망원	238,946	90,610	50,072	80,156	14,172	-	3,936
2019.07	난지	299,570	119,955	13,988	92,142	46,255	-	27,230
2019.07	강서	207,670	79,161	43,497	81,974	2,212	-	826
