기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2017.11	합계	4,556,537	1,859,099	489,277	999,541	82,201	1,030,742	95,677
2017.11	광나루	380,778	144,525	62,253	168,443	1,719	-	3,838
2017.11	잠실	295,560	114,050	62,850	111,560	3,250	-	3,850
2017.11	뚝섬	1,215,938	648,396	98,760	213,620	42,020	190,787	22,355
2017.11	잠원	139,430	136,702	140	56	2,532	-	-
2017.11	반포	14,420	4,970	2,910	4,360	60	2,000	120
2017.11	이촌	252,740	96,750	74,970	71,280	4,460	-	5,280
2017.11	여의도	1,412,080	352,185	82,660	116,440	22,160	787,375	51,260
2017.11	양화	152,081	73,711	23,180	52,422	2,054	-	714
2017.11	망원	238,002	94,520	37,936	100,885	1,666	-	2,995
2017.11	난지	275,914	132,485	11,155	75,805	1,350	50,580	4,539
2017.11	강서	179,594	60,805	32,463	84,670	930	-	726
