기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2018.10	합계	7,428,243	3,191,752	658,288	1,292,169	526,286	1,486,732	273,016
2018.10	광나루	361,105	166,100	34,554	149,941	5,782	-	4,728
2018.10	잠실	379,245	144,025	78,360	145,610	7,550	-	3,700
2018.10	뚝섬	1,770,353	1,027,940	172,860	190,395	91,365	218,230	69,563
2018.10	잠원	165,920	61,278	53,325	46,196	2,460	-	2,661
2018.10	반포	895,008	461,407	49,558	134,294	43,085	187,312	19,352
2018.10	이촌	536,930	134,340	72,430	79,460	238,850	-	11,850
2018.10	여의도	2,295,905	778,050	70,755	186,810	38,530	1,081,190	140,570
2018.10	양화	123,318	53,364	14,486	45,910	8,738	-	820
2018.10	망원	274,228	110,724	43,287	93,553	23,872	-	2,792
2018.10	난지	392,560	175,757	17,353	118,744	64,585	-	16,121
2018.10	강서	233,671	78,767	51,320	101,256	1,469	-	859
