기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2013.02	합계	2,479,454	1,097,860	266,412	455,721	61,501	509,074	88,886
2013.02	광나루	60,346	30,317	5,207	19,293	-	-	5,529
2013.02	잠실	115,155	58,567	5,608	30,955	9,572	-	10,453
2013.02	뚝섬	890,241	363,260	162,820	165,840	13,675	162,327	22,319
2013.02	잠원	84,692	52,359	7,845	18,345	-	-	6,143
2013.02	반포	108,392	57,180	18,217	22,714	250	979	9,052
2013.02	이촌	149,897	74,785	20,994	48,096	750	-	5,272
2013.02	여의도	618,895	265,703	21,057	31,029	27,125	257,242	16,739
2013.02	양화	94,685	43,953	11,798	28,939	7,624	-	2,371
2013.02	망원	81,392	57,397	4,299	19,338	-	-	358
2013.02	난지	255,530	84,893	7,980	61,490	2,033	88,526	10,608
2013.02	강서	20,229	9,446	587	9,682	472	-	42
