기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2017.12	합계	4,008,958	1,731,397	479,267	820,470	120,362	758,843	98,619
2017.12	광나루	290,348	126,500	47,464	114,636	1,276	-	472
2017.12	잠실	272,302	107,230	63,065	98,075	200	-	3,732
2017.12	뚝섬	1,107,662	611,222	93,540	176,720	29,110	165,455	31,615
2017.12	잠원	161,363	73,984	32,810	52,404	141	-	2,024
2017.12	반포	300,519	116,099	39,482	67,194	5,425	68,959	3,360
2017.12	이촌	183,100	71,600	54,540	52,840	860	-	3,260
2017.12	여의도	1,074,640	300,475	73,655	82,120	77,330	492,015	49,045
2017.12	양화	112,928	58,422	17,733	35,462	864	-	447
2017.12	망원	164,218	74,103	25,523	60,679	1,568	-	2,345
2017.12	난지	156,650	110,920	8,590	-	2,790	32,414	1,936
2017.12	강서	185,228	80,842	22,865	80,340	798	-	383
