기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2015.12	합계	1,074,235	417,675	136,556	151,321	29,272	293,295	46,116
2015.12	광나루	29,528	9,916	6,162	10,571	2,533	-	346
2015.12	잠실	26,695	10,806	5,158	6,421	3,179	-	1,131
2015.12	뚝섬	186,558	79,315	17,328	15,348	7,767	55,775	11,025
2015.12	잠원	80,318	41,376	10,450	16,710	-	-	11,782
2015.12	반포	144,591	10,444	5,540	15,371	-	113,136	100
2015.12	이촌	63,706	34,106	10,580	14,340	-	-	4,680
2015.12	여의도	211,383	92,803	8,182	14,173	7,444	78,644	10,137
2015.12	양화	96,124	35,793	39,331	18,973	81	-	1,946
2015.12	망원	77,751	34,131	13,880	24,320	2,720	-	2,700
2015.12	난지	109,693	38,750	8,670	9,855	4,610	45,740	2,068
2015.12	강서	47,888	30,235	11,275	5,239	938	-	201
