기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2014.09	합계	6,414,526	2,398,259	512,704	1,799,076	202,864	1,353,891	147,732
2014.09	광나루	350,311	145,561	51,875	138,062	7,493	-	7,320
2014.09	잠실	272,496	121,750	25,690	105,362	8,487	-	11,207
2014.09	뚝섬	1,394,542	507,331	112,415	360,183	15,530	366,985	32,098
2014.09	잠원	191,073	99,968	24,716	59,575	540	-	6,274
2014.09	반포	459,700	155,778	61,146	116,478	5,601	118,329	2,368
2014.09	이촌	446,652	132,976	58,290	240,620	-	-	14,766
2014.09	여의도	1,584,113	600,535	12,622	162,541	101,810	671,382	35,223
2014.09	양화	397,599	159,081	37,233	191,680	4,340	-	5,265
2014.09	망원	318,820	135,530	66,050	108,280	4,440	-	4,520
2014.09	난지	625,419	229,735	22,485	98,815	49,010	197,195	28,179
2014.09	강서	373,801	110,014	40,182	217,480	5,613	-	512
