기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2014.06	합계	6,084,170	2,357,993	561,799	1,596,690	128,608	1,243,755	195,325
2014.06	광나루	216,566	82,610	40,720	87,628	2,513	-	3,095
2014.06	잠실	255,282	121,470	20,565	94,163	6,397	-	12,687
2014.06	뚝섬	1,417,531	449,215	200,600	317,975	42,770	362,972	43,999
2014.06	잠원	158,793	95,504	11,810	44,416	-	-	7,063
2014.06	반포	336,932	122,186	53,628	96,708	571	62,706	1,133
2014.06	이촌	401,053	147,480	72,470	165,550	-	-	15,553
2014.06	여의도	1,745,469	770,860	20,713	196,279	32,426	652,264	72,927
2014.06	양화	442,814	169,464	41,954	223,117	4,577	-	3,702
2014.06	망원	327,021	141,680	65,365	107,320	5,550	-	7,106
2014.06	난지	520,938	189,420	4,451	100,450	33,175	165,813	27,629
2014.06	강서	261,771	68,104	29,523	163,084	629	-	431
