기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2017.08	합계	7,842,999	2,690,378	791,819	1,675,052	345,069	1,873,500	467,181
2017.08	광나루	618,916	242,435	90,143	256,575	3,273	-	26,490
2017.08	잠실	438,327	160,285	90,600	150,050	4,460	-	32,932
2017.08	뚝섬	1,875,207	861,620	165,250	390,530	52,884	313,684	91,239
2017.08	잠원	6,955	3,340	940	2,580	-	-	95
2017.08	반포	586,145	214,409	52,569	147,531	83,215	76,561	11,860
2017.08	이촌	407,459	151,460	108,960	130,530	2,650	-	13,859
2017.08	여의도	2,483,064	514,209	112,760	156,754	153,349	1,328,116	217,876
2017.08	양화	283,485	112,135	50,606	106,758	1,726	-	12,260
2017.08	망원	293,397	114,056	39,384	101,942	2,269	-	35,746
2017.08	난지	575,075	213,649	31,467	110,474	40,475	155,139	23,871
2017.08	강서	274,969	102,780	49,140	121,328	768	-	953
