기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2016.07	합계	8,228,965	2,867,123	828,544	1,781,744	198,238	2,145,308	408,008
2016.07	광나루	390,016	111,992	80,981	177,825	3,390	-	15,828
2016.07	잠실	477,063	162,450	91,907	176,780	2,692	-	43,234
2016.07	뚝섬	1,824,317	768,190	220,022	414,920	27,766	307,065	86,354
2016.07	잠원	348,610	151,186	71,648	103,220	75	-	22,481
2016.07	반포	759,010	249,910	83,741	176,060	4,220	233,067	12,012
2016.07	이촌	364,585	131,618	86,720	129,815	3,460	-	12,972
2016.07	여의도	2,342,595	583,847	7,406	112,986	134,284	1,380,610	123,462
2016.07	양화	308,365	132,887	43,315	124,221	1,452	-	6,490
2016.07	망원	331,483	137,589	51,665	97,950	8,285	-	35,994
2016.07	난지	798,934	334,080	32,165	148,480	11,136	224,566	48,507
2016.07	강서	283,987	103,374	58,974	119,487	1,478	-	674
