기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2018.01	합계	3,766,842	1,726,414	479,716	845,019	63,528	556,046	96,119
2018.01	광나루	273,286	119,810	45,193	104,954	1,099	-	2,230
2018.01	잠실	287,507	111,660	63,610	105,695	3,000	-	3,542
2018.01	뚝섬	1,138,242	623,700	111,170	168,100	28,942	159,204	47,126
2018.01	잠원	169,733	74,545	44,214	47,677	1,079	-	2,218
2018.01	반포	363,001	157,833	40,440	82,859	7,573	71,162	3,134
2018.01	이촌	197,640	78,360	59,290	55,200	1,160	-	3,630
2018.01	여의도	688,830	231,620	36,625	49,190	14,580	325,680	31,135
2018.01	양화	113,917	60,044	16,225	36,339	917	-	392
2018.01	망원	162,575	71,119	27,187	60,658	2,608	-	1,003
2018.01	난지	244,157	148,990	11,420	80,320	2,100	-	1,327
2018.01	강서	127,954	48,733	24,342	54,027	470	-	382
