기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2014.01	합계	3,008,543	1,141,518	391,969	733,291	32,677	562,013	147,075
2014.01	광나루	99,320	53,455	8,505	33,544	387	-	3,429
2014.01	잠실	164,429	86,888	10,397	47,295	2,476	-	17,373
2014.01	뚝섬	1,122,210	370,010	233,840	267,245	8,410	203,418	39,287
2014.01	잠원	161,152	100,321	10,287	38,838	-	-	11,706
2014.01	반포	143,278	69,263	31,338	36,666	17	-	5,994
2014.01	이촌	222,170	85,530	47,310	82,060	-	-	7,270
2014.01	여의도	573,787	145,808	18,035	55,147	17,100	281,430	56,267
2014.01	양화	117,184	51,774	12,660	49,781	900	-	2,069
2014.01	망원	140,840	83,720	16,330	38,630	1,570	-	590
2014.01	난지	194,874	64,314	900	47,945	1,780	77,165	2,770
2014.01	강서	69,299	30,435	2,367	36,140	37	-	320
