기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2014.08	합계	6,298,113	2,397,230	540,366	1,591,506	70,020	1,365,409	333,582
2014.08	광나루	288,194	95,349	43,637	128,782	4,281	-	16,145
2014.08	잠실	295,086	128,953	25,202	95,152	9,179	-	36,600
2014.08	뚝섬	1,543,288	483,045	153,545	346,983	30,126	426,502	103,087
2014.08	잠원	215,919	108,968	14,849	57,030	30	-	35,042
2014.08	반포	432,527	152,719	61,549	118,768	3,692	94,336	1,463
2014.08	이촌	341,509	128,225	57,345	143,290	-	-	12,649
2014.08	여의도	1,524,157	636,938	11,719	136,429	10,066	657,839	71,166
2014.08	양화	422,059	181,135	45,496	189,343	2,979	-	3,106
2014.08	망원	350,338	137,910	62,260	109,680	3,045	-	37,443
2014.08	난지	589,948	255,866	22,976	102,210	5,770	186,732	16,394
2014.08	강서	295,088	88,122	41,788	163,839	852	-	487
