기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2014.02	합계	2,908,749	1,178,270	376,223	733,433	53,118	475,346	92,359
2014.02	광나루	103,784	43,427	11,982	33,224	12,389	-	2,762
2014.02	잠실	168,124	89,708	11,471	45,931	5,650	-	15,364
2014.02	뚝섬	1,042,352	399,490	207,625	241,265	6,760	176,220	10,992
2014.02	잠원	159,839	95,137	11,539	41,614	3,500	-	8,049
2014.02	반포	126,817	54,991	29,334	36,811	-	-	5,681
2014.02	이촌	220,990	90,100	46,130	77,745	-	-	7,015
2014.02	여의도	580,434	183,281	19,934	63,327	18,823	259,911	35,158
2014.02	양화	109,460	50,396	12,176	44,228	1,050	-	1,610
2014.02	망원	135,890	74,140	14,785	44,810	1,315	-	840
2014.02	난지	164,187	60,235	8,607	49,565	2,029	39,215	4,536
2014.02	강서	96,872	37,365	2,640	54,913	1,602	-	352
