기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2018.02	합계	3,508,933	1,561,786	461,089	811,389	73,874	502,422	98,373
2018.02	광나루	255,541	119,325	39,358	95,370	667	-	821
2018.02	잠실	257,599	105,805	57,745	90,981	-	-	3,068
2018.02	뚝섬	1,138,242	623,700	111,170	168,100	28,942	159,204	47,126
2018.02	잠원	164,870	66,495	42,376	52,718	1,188	-	2,093
2018.02	반포	330,564	145,506	34,692	67,920	8,130	71,098	3,218
2018.02	이촌	198,490	78,040	56,800	57,560	2,610	-	3,480
2018.02	여의도	507,810	107,275	30,180	48,910	14,920	272,120	34,405
2018.02	양화	107,900	53,470	17,300	35,864	902	-	364
2018.02	망원	167,246	70,460	31,622	57,524	6,433	-	1,207
2018.02	난지	244,661	140,530	12,565	80,220	9,155	-	2,191
2018.02	강서	136,010	51,180	27,281	56,222	927	-	400
