기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2019.06	합계	6,819,316	2,978,289	777,619	1,352,399	208,433	1,373,156	129,420
2019.06	광나루	330,995	165,420	26,425	130,909	2,393	-	5,848
2019.06	잠실	422,623	171,535	96,540	150,175	500	-	3,873
2019.06	뚝섬	1,869,381	1,172,120	185,428	265,075	53,808	158,736	34,214
2019.06	잠원	146,425	52,559	50,500	40,862	50	-	2,454
2019.06	반포	717,874	358,849	43,756	137,239	3,446	159,325	15,259
2019.06	이촌	244,955	89,120	67,705	75,520	5,085	-	7,525
2019.06	여의도	2,045,349	565,510	178,980	154,600	60,800	1,055,095	30,364
2019.06	양화	204,484	92,703	12,545	91,713	6,591	-	932
2019.06	망원	252,852	94,443	53,578	87,595	13,566	-	3,670
2019.06	난지	344,660	136,560	13,120	110,685	59,985	-	24,310
2019.06	강서	239,718	79,470	49,042	108,026	2,209	-	971
