기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2017.09	합계	8,725,489	3,121,662	788,239	1,719,288	980,228	1,827,446	288,626
2017.09	광나루	549,914	210,510	74,201	250,472	5,768	-	8,963
2017.09	잠실	503,927	217,280	94,470	175,550	10,380	-	6,247
2017.09	뚝섬	1,686,940	754,150	157,190	341,240	165,855	232,075	36,430
2017.09	잠원	296,199	124,973	66,581	100,398	-	-	4,247
2017.09	반포	12,580	5,520	1,418	3,654	400	1,286	302
2017.09	이촌	658,050	197,540	108,110	128,750	206,220	-	17,430
2017.09	여의도	3,249,232	785,125	102,422	209,040	486,460	1,476,230	189,955
2017.09	양화	506,076	324,788	50,018	124,425	5,091	-	1,754
2017.09	망원	380,970	198,533	47,066	128,862	2,191	-	4,318
2017.09	난지	592,307	207,005	35,850	117,075	96,612	117,855	17,910
2017.09	강서	289,294	96,238	50,913	139,822	1,251	-	1,070
