기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2016.08	합계	9,415,349	3,206,130	868,085	2,094,210	273,815	2,456,016	517,093
2016.08	광나루	449,821	127,560	90,085	207,481	4,157	-	20,538
2016.08	잠실	568,458	188,110	106,472	212,795	4,778	-	56,303
2016.08	뚝섬	2,133,885	875,148	181,560	540,022	16,598	391,489	129,068
2016.08	잠원	317,128	138,827	57,143	105,238	1	-	15,919
2016.08	반포	831,841	281,677	93,391	172,799	8,061	265,486	10,427
2016.08	이촌	466,828	162,690	110,640	167,780	3,180	-	22,538
2016.08	여의도	2,483,132	546,398	8,695	89,888	207,021	1,459,573	171,557
2016.08	양화	349,000	136,786	52,761	144,999	1,728	-	12,726
2016.08	망원	374,356	154,830	60,620	111,390	6,745	-	40,771
2016.08	난지	1,143,450	487,658	45,635	214,400	19,730	339,468	36,559
2016.08	강서	297,450	106,446	61,083	127,418	1,816	-	687
