기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2018.07	합계	6,517,501	2,571,746	695,114	1,298,300	210,956	1,418,662	322,723
2018.07	광나루	393,614	162,860	51,102	161,793	1,031	-	16,828
2018.07	잠실	395,914	139,250	80,350	148,210	500	-	27,604
2018.07	뚝섬	1,437,046	811,905	176,435	181,260	51,695	165,837	49,914
2018.07	잠원	189,669	75,393	46,038	43,592	80	-	24,566
2018.07	반포	590,495	345,762	32,948	108,499	2,479	89,028	11,779
2018.07	이촌	293,330	106,620	82,400	88,110	8,380	-	7,820
2018.07	여의도	2,093,100	464,675	76,578	157,640	78,290	1,163,797	152,120
2018.07	양화	180,292	73,716	22,874	71,302	9,426	-	2,974
2018.07	망원	273,610	106,072	52,728	103,407	9,448	-	1,955
2018.07	난지	426,116	201,322	24,125	126,170	48,112	-	26,387
2018.07	강서	244,315	84,171	49,536	108,317	1,515	-	776
