기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2015.05	합계	7,770,685	2,887,237	648,716	1,841,912	208,515	1,996,108	188,197
2015.05	광나루	325,786	91,670	70,139	152,869	9,514	-	1,594
2015.05	잠실	203,222	92,255	25,523	69,436	8,256	-	7,752
2015.05	뚝섬	1,532,258	515,991	138,192	353,269	56,557	426,488	41,761
2015.05	잠원	335,156	157,415	50,215	106,685	8,570	-	12,271
2015.05	반포	689,660	218,320	66,510	162,090	5,000	234,733	3,007
2015.05	이촌	450,526	184,476	91,705	144,420	70	-	29,855
2015.05	여의도	2,410,584	935,352	13,889	191,143	16,384	1,178,142	75,674
2015.05	양화	552,857	231,200	58,055	252,861	3,371	-	7,370
2015.05	망원	308,380	128,730	60,930	101,200	11,860	-	5,660
2015.05	난지	601,901	230,310	26,901	97,715	87,535	156,745	2,695
2015.05	강서	360,355	101,518	46,657	210,224	1,398	-	558
