기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2019.08	합계	6,774,275	3,096,697	694,140	1,339,870	205,881	1,032,811	404,876
2019.08	광나루	284,634	138,430	20,435	104,605	3,920	-	17,244
2019.08	잠실	418,320	170,832	82,471	128,148	9,900	-	26,969
2019.08	뚝섬	1,997,245	1,058,880	221,576	357,540	14,012	224,261	120,976
2019.08	잠원	148,132	46,220	44,165	39,127	-	-	18,620
2019.08	반포	596,088	296,901	33,302	113,945	3,388	133,579	14,973
2019.08	이촌	247,763	99,130	68,165	71,430	2,026	-	7,012
2019.08	여의도	2,023,348	858,590	100,567	150,412	75,775	674,971	163,033
2019.08	양화	240,024	110,874	17,322	105,311	4,509	-	2,008
2019.08	망원	227,306	89,627	43,958	76,095	13,068	-	4,558
2019.08	난지	342,570	127,837	11,378	97,578	77,097	-	28,680
2019.08	강서	248,845	99,376	50,801	95,679	2,186	-	803
