기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2017.07	합계	7,153,941	2,526,968	738,904	1,481,614	266,901	1,764,733	374,821
2017.07	광나루	398,383	144,800	62,711	165,282	2,989	-	22,601
2017.07	잠실	385,146	152,810	74,966	136,515	80	-	20,775
2017.07	뚝섬	1,696,548	729,550	159,820	347,880	88,171	291,603	79,524
2017.07	잠원	298,257	147,091	58,358	85,390	42	-	7,376
2017.07	반포	489,360	168,905	56,981	128,865	51,326	76,544	6,739
2017.07	이촌	345,495	125,890	86,900	112,000	8,040	-	12,665
2017.07	여의도	2,197,578	541,421	90,228	132,656	47,123	1,221,026	165,124
2017.07	양화	224,788	91,582	40,140	86,890	1,479	-	4,697
2017.07	망원	247,825	94,388	37,167	85,593	2,271	-	28,406
2017.07	난지	653,166	247,696	31,135	108,010	64,573	175,560	26,192
2017.07	강서	217,395	82,835	40,498	92,533	807	-	722
