기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2019.12	합계	3,346,762	1,442,621	547,160	731,719	79,472	477,371	68,419
2019.12	광나루	186,660	102,440	19,109	62,740	2,116	-	255
2019.12	잠실	232,068	95,705	56,497	78,398	645	-	823
2019.12	뚝섬	1,293,130	672,650	233,403	209,845	11,831	136,076	29,325
2019.12	잠원	106,431	40,445	33,473	31,861	15	-	637
2019.12	반포	320,284	147,772	24,902	51,801	2,311	88,127	5,371
2019.12	이촌	165,890	71,330	44,495	46,370	1,040	-	2,655
2019.12	여의도	485,409	78,717	45,461	53,922	32,776	253,168	21,365
2019.12	양화	142,823	59,388	31,582	50,060	816	-	977
2019.12	망원	104,435	39,523	21,777	30,405	8,717	-	4,013
2019.12	난지	146,140	65,563	6,822	53,360	17,720	-	2,675
2019.12	강서	163,492	69,088	29,639	62,957	1,485	-	323
