기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2014.11	합계	4,095,622	1,482,600	404,461	1,116,780	97,185	916,609	77,987
2014.11	광나루	310,445	123,368	49,987	126,937	9,400	-	753
2014.11	잠실	154,626	70,442	15,772	59,629	4,078	-	4,705
2014.11	뚝섬	933,630	319,580	95,496	224,020	36,112	240,588	17,834
2014.11	잠원	150,566	87,626	9,140	48,818	-	-	4,982
2014.11	반포	291,596	95,793	42,583	70,427	15,130	66,299	1,364
2014.11	이촌	294,726	109,360	49,890	125,430	500	-	9,546
2014.11	여의도	800,349	223,445	9,787	91,992	20,944	428,162	26,019
2014.11	양화	211,473	85,945	28,087	90,972	3,888	-	2,581
2014.11	망원	221,545	93,540	51,470	72,440	1,855	-	2,240
2014.11	난지	535,360	210,096	18,583	114,460	3,070	181,560	7,591
2014.11	강서	191,306	63,405	33,666	91,655	2,208	-	372
