기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2016.01	합계	3,438,959	1,387,693	394,001	820,721	19,582	726,042	90,920
2016.01	광나루	276,809	91,015	64,299	118,330	2,847	-	318
2016.01	잠실	116,826	55,905	18,171	34,371	1,442	-	6,937
2016.01	뚝섬	693,001	312,240	57,957	152,205	4,307	134,886	31,406
2016.01	잠원	358,946	156,290	59,820	133,490	-	-	9,346
2016.01	반포	350,876	105,740	42,440	63,690	1,526	135,410	2,070
2016.01	이촌	180,590	131,190	18,190	27,530	-	-	3,680
2016.01	여의도	716,756	223,477	6,712	39,636	3,573	411,141	32,217
2016.01	양화	171,113	69,070	35,808	64,955	97	-	1,183
2016.01	망원	200,630	93,610	42,600	59,720	2,330	-	2,370
2016.01	난지	177,837	78,705	7,016	43,725	2,520	44,605	1,266
2016.01	강서	195,575	70,451	40,988	83,069	940	-	127
