기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2016.09	합계	7,239,130	2,513,546	693,121	1,698,304	345,390	1,739,338	249,431
2016.09	광나루	410,076	119,225	81,030	200,400	5,405	-	4,016
2016.09	잠실	333,953	156,747	57,328	100,737	4,992	-	14,149
2016.09	뚝섬	1,666,947	690,716	139,432	416,170	42,118	316,886	61,625
2016.09	잠원	304,924	133,209	49,249	105,560	-	-	16,906
2016.09	반포	859,541	253,606	86,199	171,900	40,113	298,708	9,015
2016.09	이촌	334,580	126,480	78,330	109,530	5,540	-	14,700
2016.09	여의도	1,702,319	423,259	6,963	76,034	134,978	967,504	93,581
2016.09	양화	340,257	132,956	56,500	143,177	989	-	6,635
2016.09	망원	317,625	135,890	58,225	112,820	4,410	-	6,280
2016.09	난지	670,315	251,100	24,050	111,600	105,370	156,240	21,955
2016.09	강서	298,593	90,358	55,815	150,376	1,475	-	569
