기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2016.04	합계	4,747,476	1,904,387	594,729	1,378,288	58,071	704,071	107,930
2016.04	광나루	379,776	110,077	80,306	183,744	4,029	-	1,620
2016.04	잠실	310,583	142,801	48,315	99,773	7,492	-	12,202
2016.04	뚝섬	1,152,218	512,394	112,453	245,954	18,925	240,206	22,286
2016.04	잠원	343,984	147,900	59,510	129,330	112	-	7,132
2016.04	반포	507,023	149,800	59,807	88,580	4,499	199,568	4,769
2016.04	이촌	309,375	177,830	46,740	71,730	-	-	13,075
2016.04	여의도	280,685	73,046	1,696	19,147	250	175,761	10,785
2016.04	양화	478,675	219,400	63,279	192,281	415	-	3,300
2016.04	망원	270,240	114,090	55,990	91,510	5,280	-	3,370
2016.04	난지	390,812	156,240	14,353	86,800	15,708	88,536	29,175
2016.04	강서	324,105	100,809	52,280	169,439	1,361	-	216
